Country,Book,Photograph,Computer Software,Film,Architectural Work (Applied Art),Collective Works (Or those made under the directions of a legal person)
Algeria,50pma,50 years from creation,50pma,50 years from publication,50 years from creation,50 years from publication
Bahrain,70pma,70pma,70pma,70 years from publication,70 years from publication,70 years from publicatoin
Djibouti,50pma,25 years from creation,50pma,50 years from being made available to the public,25 years from creation,50pma (No special rule.)
Egypt,50pma,50pma,50pma,50pma,25 years from publication or making available to the public.,50 years from publication or making available to the public.
Iraq,50pma,50pma,50pma,50pma,50 years from publication or making available to the public.,50 years from publication or making available to the public.
Jordan,50pma,50pma,50pma,50 years from publicatoin,25 years from publication,50 years from publication
Kuwait,50pma,50 years from publicatoin,50 years from publication,50 years from publication,50 years from publication,50 years from publication
Lebanon,50pma,50pma,50pma,50 years from publication,50pma,50 years from publication
Libya,25pma*,5 years from publication,Not Protected,25pma*,25pma*,30 years from publication
Morocco,70pma,70pma,70pma,70 years from publication,70 years from publication,70 years from publication
Oman,70pma,70pma,70pma,95 years from publication,95 years from publication,95 years from publication
Qatar,50pma,50pma,50pma,50 years from publication,50pma,50 years from publication
Saudi Arabia,50pma,25 years from publication,50 years from publication,50 years from publication,25 years from publication,50 years from publication
Sudan,50pma,25 years from publication,50pma,25 years from publication,50pma,50pma (No special rule)
Syria,50pma,50pma,50pma,50 years from publication,25 years from creation,50 years from publication
Tunisia,50pma,50 years from creation,50pma,50pma,50pma,50pma (No special rule.)
United Arab Emirates,50pma,50pma,50pma,50pma,25 years from publication,50 years from publication
Yemen,50pma,25 years from creation,50pma,50 years from publication,25 years from creation,50 years from publicatoin
